led,BKN,FEW,OVC,altim_in_hg,dewpoint_c,elevation_m,flight_category,latitude,longitude,observation_time,precip_in,station_id,temp_c,visibility_statute_mi,wind_dir_degrees,wind_speed_kt,wx_string,temp_f,elevation_ft,cloudbase_msl,cloudbase_agl,R,G,B,clr,clr255
52,20000,,,30.121063,6.1,74.0,VFR,34.9,-120.45,2017-11-19T15:51:00Z,,KSMX,7.2,10.0,0.0,0.0,,44.96,242.78216,450.00000000000017,207.21784000000017,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
53,,,,30.109253,7.4,112.0,VFR,34.73,-120.58,2017-11-19T15:58:00Z,0.01,KVBG,8.0,8.0,120.0,5.0,,46.4,367.45408,245.4545454545453,-121.99953454545468,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
54,,,,30.121063,3.0,205.0,VFR,34.6,-120.07,2017-11-19T16:35:00Z,,KIZA,6.0,10.0,0.0,0.0,,42.8,672.5722,1227.2727272727273,554.7005272727273,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
55,,,,30.070866,-5.6,20.0,VFR,34.2,-119.2,2017-11-19T15:51:00Z,,KOXR,14.4,10.0,20.0,8.0,,57.92,65.6168,8181.818181818181,8116.201381818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
56,,,,30.171259,-12.8,1377.0,VFR,34.75,-118.72,2017-11-19T15:53:00Z,,KSDB,8.9,10.0,50.0,14.0,,48.019999999999996,4517.7166799999995,8877.272727272728,4359.556047272728,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
57,,,,30.180119,3.1,96.0,VFR,35.75,-119.23,2017-11-19T16:35:00Z,,KDLO,5.8,10.0,0.0,0.0,,42.44,314.96064,1104.5454545454543,789.5848145454543,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
58,,,100,30.180119,6.1,89.0,LIFR,36.32,-119.4,2017-11-19T15:56:00Z,,KVIS,6.1,0.25,0.0,0.0,FG,42.980000000000004,291.99476,0.0,-291.99476,1.0,0.5,1.0,"[1.0, 0.5, 1.0]","[255.0, 127.5, 255.0]"
59,,,,30.171259,5.6,29.0,VFR,37.62,-120.95,2017-11-19T15:53:00Z,,KMOD,6.1,7.0,0.0,0.0,,42.980000000000004,95.14436,204.54545454545453,109.40109454545453,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
60,,,,30.180119,4.0,70.0,VFR,36.9,-121.42,2017-11-19T16:35:00Z,,KCVH,6.0,9.0,0.0,0.0,,42.8,229.65879999999999,818.1818181818181,588.5230181818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
61,,,,30.180119,5.0,86.0,VFR,37.08,-121.6,2017-11-19T16:35:00Z,,KE16,7.0,10.0,10.0,3.0,,44.6,282.15224,818.1818181818181,536.0295781818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
62,,,,30.159449,4.0,41.0,VFR,37.32,-121.82,2017-11-19T15:47:00Z,,KRHV,6.0,10.0,0.0,0.0,,42.8,134.51444,818.1818181818181,683.6673781818181,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
